Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/030/305/GCF_003030305.1_genomic.fna.gz	99.84	0.054	98.31-101.28	0.054	0.03-0.09	1	1.030	531/10561	90.80	NZ_CP023676.1 Cutibacterium acnes strain ATCC 6919 chromosome, complete genome
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/024/205/705/GCF_024205705.1_genomic.fna.gz	96.21	0.053	93.72-97.57	0.053	0.04-0.12	1	1.026	155/9958	87.43	NZ_CP073115.1 Neisseria subflava strain TT0077 chromosome, complete genome
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/267/835/GCF_013267835.1_genomic.fna.gz	95.49	0.101	94.03-97.66	0.101	0.05-0.17	1	1.057	209/9089	88.54	NZ_CP053939.1 Neisseria mucosa strain FDAARGOS_758 chromosome, complete genome
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/334/725/GCF_019334725.1_genomic.fna.gz	94.98	0.075	92.98-96.37	0.075	0.05-0.15	1	1.036	138/9408	87.27	NZ_CP079818.1 Neisseria perflava strain LPB0400 chromosome, complete genome
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/946/902/045/GCF_946902045.1_genomic.fna.gz	94.85	0.083	92.98-96.61	0.083	0.04-0.16	1	1.040	151/9783	87.41	NZ_OX336253.1 Neisseria sp. Marseille-Q5346 chromosome contig00001
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/618/075/GCF_001618075.1_genomic.fna.gz	94.61	0.099	92.60-97.25	0.099	0.04-0.19	1	1.047	170/10059	87.67	NZ_LAEJ01000006.1 Neisseria flavescens strain CD-NF3 seq0006, whole genome shotgun sequence
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/406/815/GCF_001406815.1_genomic.fna.gz	94.56	0.050	92.01-94.94	0.050	0.05-0.11	1	1.024	123/14285	85.78	NZ_CVRR01000001.1 Roseburia faecis strain M72, whole genome shotgun sequence
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/847/985/GCF_002847985.1_genomic.fna.gz	94.48	0.108	92.50-96.36	0.108	0.06-0.20	1	1.051	175/9899	87.79	NZ_PKJP01000001.1 Neisseria perflava strain UMB0210 ERR1203623.17957_1_35.1, whole genome shotgun sequence
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/024/205/745/GCF_024205745.1_genomic.fna.gz	94.40	0.092	92.36-96.00	0.092	0.05-0.17	1	1.044	136/9199	87.29	NZ_CP073117.1 Neisseria subflava strain HP0015 chromosome, complete genome
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/722/695/GCF_000722695.1_genomic.fna.gz	94.38	0.065	91.97-95.22	0.065	0.05-0.13	1	1.031	96/9219	86.31	NZ_JPFU01000001.1 Streptococcus mitis strain SK629 gsmSK629.contig.0_1, whole genome shotgun sequence
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/044/935/GCF_003044935.1_genomic.fna.gz	94.38	0.107	92.18-96.61	0.107	0.05-0.21	1	1.051	158/9396	87.65	NZ_POXP01000001.1 Neisseria subflava strain C2012011976 C2012011976_S31_ctg_494, whole genome shotgun sequence
trimmed_read1_3001093757-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/005/221/305/GCF_005221305.1_genomic.fna.gz	94.37	0.085	92.45-95.88	0.085	0.05-0.16	1	1.041	123/9132	87.03	NZ_CP039887.1 Neisseria subflava strain ATCC 49275 chromosome, complete genome
