Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	14.5334	6.6904	98.47	3.250	NA-NA	HIGH	NA-NA	3	3.250	36/58	98.47	0	IMGVR_UViG_3300007780_000007|3300007780|Ga0105678_100264
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	12.0395	15.6308	98.67	2.692	NA-NA	HIGH	NA-NA	3	2.692	78/118	98.67	0	IMGVR_UViG_3300007936_000001|3300007936|Ga0114095_100021
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	11.9249	10.9997	95.31	2.667	NA-NA	HIGH	NA-NA	3	2.667	21/93	95.31	12	IMGVR_UViG_2871056431_000002|2871056431|2871056432|4221-25610
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	11.8760	11.3879	98.72	2.656	NA-NA	HIGH	NA-NA	3	2.656	61/91	98.72	0	IMGVR_UViG_3300008381_000020|3300008381|Ga0114858_100003|179971-202206
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	9.2631	5.4063	95.68	2.071	NA-NA	LOW	NA-NA	1	2.071	14/55	95.68	17	IMGVR_UViG_2519899830_000003|2519899830|2519961313|94496-108029
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	8.4965	13.5502	97.61	1.900	97.01-98.82	1.900	0.85-2.29	2	2.588	68/169	97.11	0	IMGVR_UViG_3300007752_000004|3300007752|Ga0105503_10001
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	8.1117	14.4030	95.59	1.814	NA-NA	LOW	NA-NA	2	1.814	43/174	95.59	28	IMGVR_UViG_2663763525_000002|2663763525|2663868186|86-41259
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	6.7077	3.5791	99.11	1.500	98.22-100.32	1.500	0.80-2.10	2	2.212	33/56	98.31	0	IMGVR_UViG_3300008381_000022|3300008381|Ga0114858_100015|31021-43393
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	6.1488	4.7251	98.76	1.375	97.98-100.32	1.375	0.57-1.82	2	2.118	34/67	97.84	0	IMGVR_UViG_3300008381_000023|3300008381|Ga0114858_100030|1-17820
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	3.9128	3.2043	97.97	0.875	96.81-99.69	0.875	0.42-1.47	2	1.939	33/107	96.28	20	IMGVR_UViG_2744054564_000005|2744054564|2744067505|18351-37340
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	3.2793	2.7171	100.00	0.733	99.60-102.58	0.733	0.39-1.26	1	1.909	55/81	98.76	0	IMGVR_UViG_2602041920_000003|2602041920|2602088048
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	2.9812	5.5381	97.56	0.667	95.70-99.42	0.667	0.32-1.14	1	1.450	40/177	95.32	31	IMGVR_UViG_2713897267_000001|2713897267|2713960364
trimmed_read1_3001102443-DNA.fastq.gz	imgvr_reps.fna	0.7252	2.1679	99.52	0.162	96.86-100.28	0.162	0.14-0.35	1	1.075	40/310	93.61	0	IMGVR_UViG_2529293271_000002|2529293271|2529422725|128316-197640
