Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/688/415/GCF_000688415.1_genomic.fna.gz	98.84	0.809	98.67-98.96	0.809	0.76-0.86	1	1.480	3786/9809	96.98	NZ_JIAH01000001.1 Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00010.10_C, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/943/913/655/GCA_943913655.1_genomic.fna.gz	98.07	0.118	96.95-99.27	0.118	0.08-0.17	1	1.637	369/5936	91.43	CALTZA010000001.1 MAG: uncultured Francisella sp. isolate G79AyWT62A_bin.4.MAG genome assembly, contig: NODE_9_length_210779_cov_13.887189, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/245/815/GCF_000245815.1_genomic.fna.gz	97.98	0.769	97.81-98.18	0.769	0.70-0.82	1	1.455	2227/7821	96.03	NZ_JH601103.1 Dolosigranulum pigrum ATCC 51524 supercont1.1, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/520/795/GCF_023520795.1_genomic.fna.gz	97.29	0.295	96.83-97.69	0.295	0.26-0.34	1	1.164	1125/10329	93.10	NZ_CP046605.1 Corynebacterium accolens strain DSM 44278 chromosome, complete genome
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/457/635/GCF_001457635.1_genomic.fna.gz	97.24	0.065	95.27-99.23	0.065	0.03-0.12	1	1.040	225/8578	88.92	NZ_LN831051.1 Streptococcus pneumoniae strain NCTC7465 chromosome 1, complete sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/227/225/GCF_030227225.1_genomic.fna.gz	95.25	0.253	94.52-95.82	0.253	0.20-0.33	1	1.226	530/10692	90.76	NZ_JASPHQ010000010.1 Corynebacterium sp. MSK130 NODE_10_length_89438_cov_43.882107, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/515/985/GCF_030515985.1_genomic.fna.gz	94.87	0.357	94.19-95.48	0.357	0.29-0.44	1	1.249	599/10218	91.26	NZ_CP100376.1 Corynebacterium accolens strain CA7 chromosome
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/478/175/GCF_000478175.1_genomic.fna.gz	94.37	0.346	93.77-94.79	0.346	0.29-0.43	1	1.193	507/10434	90.70	NZ_KI515774.1 Corynebacterium sp. KPL1814 addUQ-supercont1.1, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/087/075/GCF_002087075.1_genomic.fna.gz	94.23	0.088	92.30-95.94	0.088	0.05-0.16	1	1.228	123/9171	87.02	NZ_MWSM01000001.1 Streptococcus pseudopneumoniae ATCC BAA-960 = CCUG 49455 CCUG_49455T_0000001, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/277/515/GCF_013277515.1_genomic.fna.gz	93.66	0.076	90.71-94.24	0.076	0.07-0.19	1	1.279	86/8972	86.08	NZ_VMNB01000001.1 Streptococcus sp. k-402 k-402_R1_(paired)_contig_1, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/096/185/GCA_001096185.1_genomic.fna.gz	93.06	0.098	90.88-94.43	0.098	0.07-0.20	1	1.278	90/8989	86.20	CRPU01000001.1 Streptococcus pneumoniae genome assembly 6775_1#8, scaffold ERS020334SCcontig000001, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/946/190/275/GCF_946190275.1_genomic.fna.gz	92.69	0.088	90.08-93.43	0.088	0.07-0.20	1	1.216	74/9210	85.59	NZ_CAMHZQ010000001.1 Streptococcus mitis isolate Streptococcus mitis NODE_1_length_295642_cov_144.812041, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/070/715/GCA_001070715.1_genomic.fna.gz	92.59	0.091	90.22-93.27	0.091	0.08-0.22	1	1.329	73/9137	85.57	JVRR01000136.1 Streptococcus pseudopneumoniae strain 163_SPSE 1000_987_21661_898_,304+,902_, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/257/865/GCF_000257865.1_genomic.fna.gz	92.57	0.092	89.87-93.03	0.092	0.08-0.22	1	1.225	71/8814	85.60	NZ_AICU01000001.1 Streptococcus mitis SK575 contig00033, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/277/205/GCF_013277205.1_genomic.fna.gz	92.52	0.104	90.10-93.91	0.104	0.07-0.25	1	1.202	84/9465	85.86	NZ_VMMO01000001.1 Streptococcus sp. 202 202_S24_L001_R1_001_(paired)_contig_1, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/902/489/265/GCA_902489265.1_genomic.fna.gz	92.24	0.107	90.06-92.53	0.107	0.10-0.23	1	1.083	60/7235	85.68	CABTZI010000001.1 MAG TPA_asm: uncultured Streptococcus sp. isolate MGYG-HGUT-03797 genome assembly, contig: GUT_GENOME244205_1, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/905/221/545/GCA_905221545.1_genomic.fna.gz	92.21	0.103	89.70-92.63	0.103	0.09-0.24	1	1.250	64/8034	85.57	CAJNDO010000001.1 unidentified bacterium isolate Streptococcus species genome assembly, contig: NODE_1_length_233977_cov_53.6585, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/942/685/GCF_003942685.1_genomic.fna.gz	92.12	0.118	89.68-93.21	0.118	0.08-0.24	1	1.250	76/8731	85.81	NZ_RJNR01000001.1 Streptococcus mitis strain BCA12 D8855_contig001, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/860/905/GCF_002860905.1_genomic.fna.gz	92.09	0.100	89.49-92.66	0.100	0.09-0.27	1	1.242	66/8928	85.36	NZ_PKIG01000001.1 Streptococcus oralis subsp. dentisani strain UMB0832 .16933_8_21.1, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/905/221/115/GCA_905221115.1_genomic.fna.gz	92.07	0.103	89.56-92.74	0.103	0.09-0.25	1	1.250	64/8441	85.43	CAJNBX010000001.1 unidentified bacterium isolate Streptococcus species genome assembly, contig: NODE_1_length_385792_cov_41.2882, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/414/905/GCF_019414905.1_genomic.fna.gz	91.99	0.111	89.55-92.57	0.111	0.08-0.26	1	1.034	58/7206	85.59	NZ_DXLC01000001.1 MAG: Streptococcus sp. isolate HRGM_Genome_0314 HRGM_Genome_0314_1, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/763/935/GCF_008763935.1_genomic.fna.gz	91.95	0.100	89.62-92.69	0.100	0.08-0.24	1	1.242	66/9346	85.23	NZ_VTQF01000017.1 Streptococcus mitis strain DE0498 NODE_100_length_5450_cov_55.629293, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/905/221/375/GCA_905221375.1_genomic.fna.gz	91.93	0.103	89.53-92.65	0.103	0.09-0.24	1	1.250	64/8833	85.30	CAJNCY010000001.1 unidentified bacterium isolate Streptococcus species genome assembly, contig: NODE_1_length_291870_cov_37.7718, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/901/542/415/GCF_901542415.1_genomic.fna.gz	91.93	0.102	89.55-92.82	0.102	0.09-0.24	1	1.048	62/8708	85.26	NZ_CABEHV010000001.1 Streptococcus mitis strain NCTC11189, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/942/765/GCF_003942765.1_genomic.fna.gz	91.77	0.125	89.51-92.96	0.125	0.08-0.27	1	1.264	72/8775	85.65	NZ_RJNW01000001.1 Streptococcus mitis strain KLC01 D8849_contig001, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/375/525/GCF_000375525.1_genomic.fna.gz	91.55	0.791	91.13-91.91	0.791	0.66-0.98	1	1.626	372/10520	89.78	NZ_AQXC01000001.1 Corynebacterium propinquum DSM 44285 B142DRAFT_scaffold_0.1_C, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/232/885/GCF_030232885.1_genomic.fna.gz	91.54	0.987	91.17-91.92	0.987	0.81-1.21	1	1.766	411/10137	90.18	NZ_JASPGD010000010.1 Corynebacterium sp. MSK297 NODE_10_length_83137_cov_46.783265, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/089/495/GCF_020089495.2_genomic.fna.gz	91.53	0.133	89.55-92.86	0.133	0.09-0.28	1	1.348	69/8470	85.63	NZ_JAIRCA020000001.1 Streptococcus sp. IMAU 99199 IMAU99199, whole genome shotgun sequence
trimmed_read1_3001384560-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/257/905/GCF_000257905.1_genomic.fna.gz	91.30	0.120	88.69-91.96	0.120	0.11-0.29	1	1.316	57/8469	85.10	NZ_AJJL01000001.1 Streptococcus mitis SK579 contig00033, whole genome shotgun sequence
