Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/220/655/GCF_002220655.1_genomic.fna.gz	71.6537	85.4741	98.70	31.000	NA-NA	HIGH	NA-NA	31	31.985	15167/22737	98.70	0	NZ_CP018925.1 Serratia marcescens strain UMH3 chromosome, complete genome
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/245/815/GCF_000245815.1_genomic.fna.gz	8.9425	3.7473	97.89	3.869	NA-NA	HIGH	NA-NA	4	3.869	4034/7821	97.89	1	NZ_JH601103.1 Dolosigranulum pigrum ATCC 51524 supercont1.1, whole genome shotgun sequence
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/408/445/GCF_013408445.1_genomic.fna.gz	8.8952	4.9105	97.91	3.848	NA-NA	HIGH	NA-NA	3	3.848	5310/10212	97.91	21	NZ_JACBZL010000001.1 Corynebacterium tuberculostearicum strain DSM 44922 Ga0104567_01, whole genome shotgun sequence
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/688/415/GCF_000688415.1_genomic.fna.gz	3.6064	1.8349	98.82	1.560	98.74-98.90	1.560	1.48-1.65	2	2.044	5374/9809	98.08	0	NZ_JIAH01000001.1 Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00010.10_C, whole genome shotgun sequence
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/006/742/205/GCF_006742205.1_genomic.fna.gz	3.2939	1.7990	99.62	1.425	99.55-99.69	1.425	1.36-1.48	2	2.002	6848/10141	98.74	0	NZ_AP019721.1 Staphylococcus epidermidis strain NBRC 100911 chromosome, complete genome
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/907/735/GCF_016907735.1_genomic.fna.gz	1.1223	0.6087	96.98	0.486	96.68-97.29	0.486	0.43-0.54	1	1.272	1519/10222	94.04	4	NZ_JAFBCP010000001.1 Brevibacterium paucivorans strain DSM 13657 Ga0451113_01, whole genome shotgun sequence
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/570/785/GCF_001570785.1_genomic.fna.gz	0.8580	0.4161	96.60	0.371	96.15-97.03	0.371	0.32-0.43	1	1.200	996/9371	93.02	34	NZ_BCSI01000001.1 Dermabacter hominis NBRC 106157, whole genome shotgun sequence
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/901/705/GCF_002901705.1_genomic.fna.gz	0.6061	0.3436	98.71	0.262	98.30-99.07	0.262	0.23-0.30	1	1.162	1699/10965	94.16	25	NZ_PPPV01000006.1 Staphylococcus lugdunensis strain NCTC 12217 NCTC12217_e2_c10, whole genome shotgun sequence
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/742/135/GCF_000742135.1_genomic.fna.gz	0.2425	0.3026	97.02	0.105	96.21-97.81	0.105	0.08-0.13	1	1.051	939/23841	90.09	96	NZ_KN046818.1 Klebsiella pneumoniae strain ATCC 13883 scaffold1, whole genome shotgun sequence
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/621/715/GCF_028621715.1_genomic.fna.gz	0.1953	0.1396	95.02	0.085	93.37-97.10	0.085	0.04-0.16	1	1.049	223/13401	87.62	1	NZ_CP117466.1 Paracoccus marcusii strain MBLB0836 chromosome, complete genome
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/188/295/GCF_000188295.1_genomic.fna.gz	0.1820	0.0767	95.23	0.079	92.99-96.57	0.079	0.04-0.16	1	1.045	134/8001	87.64	3	NZ_GL831112.1 Streptococcus vestibularis ATCC 49124 SCAFFOLD1, whole genome shotgun sequence
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/445/265/GCF_900445265.1_genomic.fna.gz	0.1585	0.0683	96.57	0.069	94.45-98.62	0.069	0.03-0.14	1	1.033	181/8071	88.47	0	NZ_UFTA01000002.1 Anaerococcus octavius strain NCTC9810, whole genome shotgun sequence
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/729/745/GCF_001729745.1_genomic.fna.gz	0.1297	0.1366	96.81	0.056	95.21-98.77	0.056	0.03-0.09	1	1.012	409/20199	88.18	78	NZ_CP017186.1 Enterobacter hormaechei subsp. hoffmannii strain DSM 14563 chromosome, complete genome
trimmed_read1_3001094393-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/022/179/765/GCF_022179765.1_genomic.fna.gz	0.1137	0.1419	95.21	0.049	93.39-96.81	0.049	0.03-0.09	1	1.024	250/23866	86.32	3	NZ_BPRE01000001.1 Methylorubrum suomiense strain DSM 14458 entry1, whole genome shotgun sequence
