Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	2.8478	1.4914	95.35	24.000	NA-NA	HIGH	NA-NA	24	23.125	16/70	95.35	3	IMGVR_UViG_3300014515_000006|3300014515|Ga0169874_100257
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	2.3732	1.5826	96.48	20.000	NA-NA	HIGH	NA-NA	20	21.320	25/76	96.48	30	IMGVR_UViG_3300029124_000275|3300029124|Ga0169224_1000844
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	2.3732	1.4981	98.76	20.000	NA-NA	HIGH	NA-NA	20	20.340	53/78	98.76	0	IMGVR_UViG_3300010266_000307|3300010266|Ga0129314_1001359
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	2.2545	2.6045	95.45	19.000	NA-NA	HIGH	NA-NA	19	17.824	34/144	95.45	0	IMGVR_UViG_3300007111_000125|3300007111|Ga0102634_100631
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	2.2545	1.5148	99.71	19.000	NA-NA	HIGH	NA-NA	19	18.757	74/81	99.71	0	IMGVR_UViG_3300007353_000226|3300007353|Ga0104758_100585|2-18537
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	2.1358	1.2665	95.24	18.000	NA-NA	HIGH	NA-NA	18	18.667	15/68	95.24	0	IMGVR_UViG_3300029749_000361|3300029749|Ga0245202_1002041
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	2.1358	2.9678	95.22	18.000	NA-NA	HIGH	NA-NA	18	15.857	35/160	95.22	84	IMGVR_UViG_3300029765_000239|3300029765|Ga0243842_100039|14371-52705
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	2.0172	3.2607	98.01	17.000	NA-NA	HIGH	NA-NA	17	14.979	97/181	98.01	15	IMGVR_UViG_2920251457_000001|2920251457|2920251556
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	2.0172	1.7492	100.00	17.000	NA-NA	HIGH	NA-NA	17	17.280	100/100	100.00	0	IMGVR_UViG_7000000011_000075|7000000011|SRS053214_LANL_scaffold_7045
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.8985	2.0986	98.93	16.000	NA-NA	HIGH	NA-NA	16	15.479	96/134	98.93	0	IMGVR_UViG_3300029437_000033|3300029437|Ga0242826_1001164
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.8985	2.4918	100.00	16.000	NA-NA	HIGH	NA-NA	16	16.119	135/135	100.00	0	IMGVR_UViG_3300006312_000102|3300006312|Ga0099626_100562
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.8985	2.2100	98.14	16.000	NA-NA	HIGH	NA-NA	16	15.563	71/127	98.14	21	IMGVR_UViG_2806310872_000001|2806310872|2806367231|15276-47389
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.8985	0.9550	99.93	16.000	NA-NA	HIGH	NA-NA	16	18.837	49/50	99.93	0	IMGVR_UViG_3300014958_000170|3300014958|Ga0134421_1001470
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.8985	2.2121	95.34	16.000	NA-NA	HIGH	NA-NA	16	15.697	33/145	95.34	70	IMGVR_UViG_3300029338_000377|3300029338|Ga0243718_1000060|1-32145
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.7799	0.8138	100.00	15.000	NA-NA	HIGH	NA-NA	15	15.849	53/53	100.00	0	IMGVR_UViG_3300014551_000088|3300014551|Ga0134380_100263|33714-46327
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.7799	1.5772	95.54	15.000	NA-NA	HIGH	NA-NA	15	15.192	26/107	95.54	43	IMGVR_UViG_3300045988_014686|3300045988|Ga0495776_070328
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.7799	2.5564	95.85	15.000	NA-NA	HIGH	NA-NA	15	14.935	46/171	95.85	65	IMGVR_UViG_3300029241_000161|3300029241|Ga0167490_100477
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.7573	1.8593	97.00	14.810	NA-NA	HIGH	NA-NA	14	14.810	42/108	97.00	46	IMGVR_UViG_3300029406_000144|3300029406|Ga0242805_100796
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.7301	1.9934	95.46	14.581	NA-NA	HIGH	NA-NA	13	14.581	31/131	95.46	34	IMGVR_UViG_2920668097_000002|2920668097|2920668107|326232-358017
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.7133	1.9179	96.44	14.439	NA-NA	HIGH	NA-NA	14	14.439	41/126	96.44	59	IMGVR_UViG_3300029846_000242|3300029846|Ga0245279_100695|8609-39491
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.6813	4.0285	95.33	14.169	NA-NA	HIGH	NA-NA	13	14.169	65/286	95.33	85	IMGVR_UViG_3300029481_000164|3300029481|Ga0244053_100202|461-66564
trimmed_read1_3001368277-DNA.fastq.gz	imgvr_reps.fna	1.6810	0.9621	96.40	14.167	NA-NA	HIGH	NA-NA	13	14.167	18/56	96.40	34	IMGVR_UViG_3300029401_000146|3300029401|Ga0242819_101476
