Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/679/005/GCF_001679005.1_genomic.fna.gz	67.8231	67.2458	98.47	10.686	NA-NA	HIGH	NA-NA	10	10.686	6104/9834	98.47	1	NZ_LXTW01000001.1 Moraxella nonliquefaciens strain CCUG 348 contig_1, whole genome shotgun sequence
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/166/715/GCF_000166715.1_genomic.fna.gz	11.0171	9.3777	99.56	1.736	99.49-99.64	1.736	1.64-1.82	2	2.871	6163/8553	98.95	0	NZ_AEMI01000043.1 Leuconostoc gelidum subsp. gelidum KCTC 3527 contig00049, whole genome shotgun sequence
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/196/855/GCF_000196855.1_genomic.fna.gz	6.9406	5.8982	98.06	1.094	97.91-98.26	1.094	1.01-1.16	1	1.852	3009/8292	96.78	1619	NC_014319.1 Leuconostoc gasicomitatum LMG 18811, complete sequence
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/014/445/GCF_000014445.1_genomic.fna.gz	3.3257	3.0022	98.58	0.524	98.33-98.82	0.524	0.47-0.57	1	1.515	2324/8862	95.77	34	NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete sequence
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/023/205/GCF_000023205.1_genomic.fna.gz	2.9317	3.1887	97.34	0.462	97.06-97.63	0.462	0.41-0.51	1	1.293	1682/10484	94.27	0	NC_012803.1 Micrococcus luteus NCTC 2665, complete sequence
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/667/225/GCF_003667225.1_genomic.fna.gz	1.9814	2.3279	96.82	0.312	96.38-97.24	0.312	0.27-0.36	1	1.202	1143/11626	92.79	14	NZ_RCOM01000100.1 Kocuria rhizophila strain TA68 NODE_100_length_7276_cov_8.7706_ID_3532, whole genome shotgun sequence
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/005/280/295/GCF_005280295.1_genomic.fna.gz	1.3595	1.9154	96.37	0.214	95.66-96.75	0.214	0.18-0.27	1	1.101	829/13531	91.39	9	NZ_CP040020.1 Brevibacterium sp. CS2 chromosome, complete genome
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/907/795/GCF_016907795.1_genomic.fna.gz	1.3211	1.6650	95.14	0.208	94.23-95.65	0.208	0.17-0.29	1	1.106	491/12253	90.14	27	NZ_JAFBCR010000001.1 Kocuria palustris strain TAGA27 Ga0451124_01, whole genome shotgun sequence
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/904/063/055/GCF_904063055.1_genomic.fna.gz	1.2201	3.2545	95.26	0.192	94.66-95.71	0.192	0.16-0.23	1	1.111	1025/26376	90.05	4	NZ_CAJFCN010000001.1 Pseudomonas paracarnis strain V5/DAB/2/5, whole genome shotgun sequence
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/030/305/GCF_003030305.1_genomic.fna.gz	1.2076	1.3103	95.88	0.190	95.01-96.57	0.190	0.15-0.25	1	1.095	497/10561	90.61	0	NZ_CP023676.1 Cutibacterium acnes strain ATCC 6919 chromosome, complete genome
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/156/745/GCF_028156745.1_genomic.fna.gz	0.5600	0.4893	96.30	0.088	94.76-98.04	0.088	0.05-0.15	1	1.073	218/8273	88.93	0	NZ_JAODJG010000009.1 Streptococcus gwangjuense strain DP4_6_2 107, whole genome shotgun sequence
trimmed_read1_3001195230-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/929/015/GCF_019929015.1_genomic.fna.gz	0.3121	0.3251	95.68	0.049	93.36-95.97	0.049	0.05-0.10	1	1.040	126/10323	86.75	28	NZ_JAHZOU010000001.1 Streptococcus sanguinis strain MA4_6 Ssanguinis_MA4_6_Nina_Sia_YES_0, whole genome shotgun sequence
