Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/834/235/GCF_002834235.1_genomic.fna.gz	17.1592	15.6647	97.88	16.000	NA-NA	HIGH	NA-NA	16	15.837	5178/10048	97.88	86	NZ_NNBY01000001.1 Ruminococcus bromii strain 5AMG contig000001, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/025/215/GCF_001025215.1_genomic.fna.gz	16.0868	14.1574	97.89	15.000	NA-NA	HIGH	NA-NA	15	14.850	4998/9671	97.89	1407	NZ_AP012330.1 Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 strain JCM 1200 chromosome, complete genome
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/905/202/265/GCA_905202265.1_genomic.fna.gz	13.1357	11.3372	96.49	12.248	NA-NA	HIGH	NA-NA	11	12.248	3186/9654	96.49	4234	CAJKRE010000001.1 MAG TPA_asm: Bifidobacterium longum isolate ERR1430398-bin.4 genome assembly, contig: NODE_23_length_243841_cov_481.625003, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/196/555/GCF_000196555.1_genomic.fna.gz	9.1053	8.2606	99.31	8.490	NA-NA	HIGH	NA-NA	8	8.490	8058/9990	99.31	0	NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217, complete sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/152/405/GCF_025152405.1_genomic.fna.gz	4.7820	4.9726	99.15	4.459	NA-NA	HIGH	NA-NA	4	4.459	8543/11143	99.15	4	NZ_CP102292.1 [Ruminococcus] lactaris ATCC 29176 chromosome, complete genome
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/027/667/425/GCF_027667425.1_genomic.fna.gz	4.2114	6.0595	98.47	3.927	NA-NA	HIGH	NA-NA	4	3.927	10150/16352	98.47	358	NZ_JAQEGR010000001.1 Fusicatenibacter saccharivorans strain AM67-22ACA AM67-22ACA.Scaf1, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/905/205/145/GCA_905205145.1_genomic.fna.gz	4.1926	3.2659	97.23	3.909	NA-NA	HIGH	NA-NA	3	3.909	3728/8905	97.23	8	CAJLCM010000001.1 MAG TPA_asm: uncultured Collinsella sp. isolate SRR5519181-bin.5 genome assembly, contig: NODE_184_length_75720_cov_6.593484, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/687/435/GCF_020687435.1_genomic.fna.gz	3.5318	4.6698	98.41	3.293	NA-NA	HIGH	NA-NA	3	3.293	9044/14878	98.41	265	NZ_JAJEQQ010000010.1 Blautia sp. CLA-AA-H217 NODE_10_length_118329_cov_31.248562, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/025/135/GCF_001025135.1_genomic.fna.gz	2.0842	1.7528	99.17	1.943	99.06-99.24	1.943	1.85-2.21	2	2.532	6351/9564	98.69	127	NZ_AP012323.1 Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 strain JCM 1255 chromosome, complete genome
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/209/925/GCF_900209925.1_genomic.fna.gz	1.9839	2.6529	97.57	1.850	97.49-97.65	1.850	1.75-1.95	2	2.430	5764/14496	97.07	374	NZ_LT907978.1 Anaerobutyricum hallii isolate EH1 chromosome I
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/433/635/GCA_000433635.1_genomic.fna.gz	1.3151	1.1232	97.29	1.226	97.14-97.44	1.226	1.13-1.31	2	1.861	2920/9691	96.20	4	HF997820.1 Ruminococcus sp. CAG:254 genomic scaffold, scf2, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/154/445/GCF_000154445.1_genomic.fna.gz	1.0977	1.2409	99.28	1.023	99.18-99.37	1.023	0.97-1.07	1	1.809	6543/12778	97.86	0	NZ_DS499569.1 Intestinibacter bartlettii DSM 16795 Scfld_02_17, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/312/505/GCA_001312505.1_genomic.fna.gz	1.0747	1.3324	97.83	1.002	97.70-97.95	1.002	0.95-1.07	1	1.873	4520/13972	96.43	623	BBDW01000001.1 [Ruminococcus] faecis JCM 15917 DNA, contig: JCM15917.contig00001, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/150/085/GCF_025150085.1_genomic.fna.gz	0.9218	1.0237	98.76	0.859	98.62-98.90	0.859	0.81-0.91	1	1.666	4892/12447	97.03	150	NZ_CP102280.1 Dorea longicatena strain DSM 13814 chromosome, complete genome
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/959/020/155/GCF_959020155.1_genomic.fna.gz	0.7702	0.5714	96.66	0.718	96.40-96.87	0.718	0.65-0.79	1	1.966	1583/8365	94.77	3856	NZ_CAUERC010000001.1 MAG: uncultured Bifidobacterium sp. isolate ERR10149223_bin.28_MetaWRAP_v1.3_MAG ERZ19076452.33, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/280/875/GCF_001280875.1_genomic.fna.gz	0.7402	0.8979	99.20	0.690	99.06-99.36	0.690	0.65-0.73	1	1.437	5383/13800	97.01	0	NZ_LGAJ01000001.1 Sellimonas intestinalis strain BR72 contig_1, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/010/604/095/GCA_010604095.1_genomic.fna.gz	0.7216	0.5965	97.90	0.673	97.71-98.09	0.673	0.62-0.73	1	1.457	2357/9276	95.68	12	JAABLG010000001.1 Streptococcus vestibularis strain AS012761 AS012761_1, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/296/915/GCF_030296915.1_genomic.fna.gz	0.7083	0.7554	98.68	0.660	98.50-98.86	0.660	0.62-0.70	1	1.426	3873/12086	96.40	62	NZ_AP028031.1 Anaerostipes hadrus ATCC 29173 = JCM 17467 chromosome, complete genome
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/025/175/GCF_001025175.1_genomic.fna.gz	0.6801	0.5871	98.22	0.634	98.01-98.41	0.634	0.58-0.68	1	1.642	2662/9783	95.89	878	NZ_AP012324.1 Bifidobacterium breve DSM 20213 = JCM 1192 chromosome, complete genome
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/010/425/GCF_000010425.1_genomic.fna.gz	0.5595	0.4447	96.99	0.522	96.70-97.27	0.522	0.47-0.57	1	1.372	1450/8919	94.31	1319	NC_008618.1 Bifidobacterium adolescentis ATCC 15703, complete sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/557/165/GCA_900557165.1_genomic.fna.gz	0.5505	0.4881	98.95	0.513	98.77-99.15	0.513	0.48-0.55	1	1.321	2910/10056	96.08	108	USRS01000001.1 uncultured Clostridium sp. isolate UMGS2014 genome assembly, contig: NODE_178_length_94279_cov_5.020759, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/577/815/GCF_000577815.1_genomic.fna.gz	0.5328	0.7405	98.78	0.497	98.60-98.95	0.497	0.47-0.53	1	1.323	4226/15748	95.85	11	NZ_CBYM010000001.1 Clostridium saudiense strain JCC, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/436/475/GCA_000436475.1_genomic.fna.gz	0.4872	0.4853	98.62	0.454	98.42-98.87	0.454	0.41-0.49	1	1.270	2678/11287	95.47	2	FR886126.1 Eubacterium sp. CAG:248 genomic scaffold, scf3, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/150/425/GCA_025150425.1_genomic.fna.gz	0.4600	0.4715	96.80	0.429	96.43-97.16	0.429	0.38-0.48	1	1.231	1458/11421	93.58	61	CP102281.1 [Eubacterium] siraeum strain DSM 15702 chromosome, complete genome
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/112/995/GCA_900112995.1_genomic.fna.gz	0.4063	0.4354	98.30	0.379	98.02-98.58	0.379	0.34-0.41	1	1.250	2268/12183	94.72	380	FONU01000049.1 Lactobacillus rogosae strain ATCC 27753 genome assembly, contig: Ga0052885_scaffold00047.47, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/554/845/GCF_020554845.1_genomic.fna.gz	0.3868	0.6039	97.79	0.361	97.49-98.06	0.361	0.33-0.39	1	1.279	2748/17617	94.18	460	NZ_JAJCIA010000001.1 Blautia faecis strain DFI.3.66 LDJIBEFH_1, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/154/465/GCF_000154465.1_genomic.fna.gz	0.3759	0.3647	98.18	0.351	97.87-98.46	0.351	0.32-0.39	1	1.192	1794/10726	94.39	0	NZ_DS499581.1 Alistipes putredinis DSM 17216 Scfld_02_11, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/009/680/455/GCF_009680455.1_genomic.fna.gz	0.3681	0.4233	97.67	0.343	97.31-98.00	0.343	0.30-0.38	1	1.251	1848/13152	93.87	423	NZ_WKRD01000010.1 Lachnospira eligens strain BIOML-A1 scaffold10_size99411, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/425/665/GCF_003425665.1_genomic.fna.gz	0.3641	0.3455	98.68	0.340	98.34-99.01	0.340	0.30-0.37	1	1.281	2051/10667	94.82	66	NZ_QQRQ01000001.1 Evtepia gabavorous strain KLE1738 KLE1738_1, whole genome shotgun sequence
trimmed_read1_3001368277-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/015/667/935/GCF_015667935.1_genomic.fna.gz	0.3573	0.4047	98.04	0.333	97.69-98.43	0.333	0.29-0.38	1	1.227	1970/12725	94.16	790	NZ_JADPET010000100.1 Clostridium sp. 1001270J_160509_D11 NODE_100_length_10651_cov_27.8814, whole genome shotgun sequence
