Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3000847929-DNA.fastq.gz	imgvr_reps.fna	16.7649	30.2676	97.28	5.247	NA-NA	HIGH	NA-NA	5	5.247	85/200	97.28	0	IMGVR_UViG_2878547026_000002|2878547026|2878547031|75716-123191
trimmed_read1_3000847929-DNA.fastq.gz	imgvr_reps.fna	15.5399	8.7183	99.95	4.864	NA-NA	HIGH	NA-NA	5	4.864	66/67	99.95	0	IMGVR_UViG_3300007302_000003|3300007302|Ga0104927_100057
trimmed_read1_3000847929-DNA.fastq.gz	imgvr_reps.fna	14.2328	11.5772	96.71	4.455	NA-NA	HIGH	NA-NA	4	4.455	33/93	96.71	6	IMGVR_UViG_2871056431_000002|2871056431|2871056432|4221-25610
trimmed_read1_3000847929-DNA.fastq.gz	imgvr_reps.fna	13.4195	5.4476	95.73	4.200	NA-NA	HIGH	NA-NA	4	4.200	15/58	95.73	0	IMGVR_UViG_3300007780_000007|3300007780|Ga0105678_100264
trimmed_read1_3000847929-DNA.fastq.gz	imgvr_reps.fna	12.6283	14.1244	98.78	3.952	NA-NA	HIGH	NA-NA	4	3.952	84/123	98.78	0	IMGVR_UViG_3300007302_000001|3300007302|Ga0104927_100021
trimmed_read1_3000847929-DNA.fastq.gz	imgvr_reps.fna	11.9948	6.4151	99.85	3.754	NA-NA	HIGH	NA-NA	3	3.754	61/64	99.85	0	IMGVR_UViG_3300007302_000004|3300007302|Ga0104927_100065
trimmed_read1_3000847929-DNA.fastq.gz	imgvr_reps.fna	5.6384	4.1552	95.32	1.765	NA-NA	LOW	NA-NA	2	1.765	17/75	95.32	15	IMGVR_UViG_2874568730_000003|2874568730|2874568842
trimmed_read1_3000847929-DNA.fastq.gz	imgvr_reps.fna	5.0746	12.6629	96.18	1.588	95.65-97.85	1.588	0.58-1.88	2	1.767	73/307	95.47	0	IMGVR_UViG_3300007132_000014|3300007132|Ga0103282_100027
trimmed_read1_3000847929-DNA.fastq.gz	imgvr_reps.fna	3.4289	5.6599	98.41	1.073	97.70-99.27	1.073	0.59-1.57	1	1.684	76/190	97.09	19	IMGVR_UViG_2903682452_000003|2903682452|2903682513|20595-64000
trimmed_read1_3000847929-DNA.fastq.gz	imgvr_reps.fna	1.2780	0.9719	100.00	0.400	98.39-101.75	0.400	0.23-0.74	1	1.483	29/87	96.52	0	IMGVR_UViG_2937921087_000006|2937921087|2937921124|69-20065
