Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/613/925/GCA_000613925.1_genomic.fna.gz	99.02	0.039	97.10-101.39	0.039	0.02-0.07	1	1.055	364/12791	89.15	BAJX01000055.1 Prevotella histicola JCM 15637 = DNF00424 DNA, contig: JCM15637.contig00055, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/010/604/095/GCA_010604095.1_genomic.fna.gz	97.75	0.123	96.67-98.63	0.123	0.09-0.17	1	1.104	539/9276	91.23	JAABLG010000001.1 Streptococcus vestibularis strain AS012761 AS012761_1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/722/765/GCF_000722765.2_genomic.fna.gz	97.47	0.164	96.71-98.38	0.164	0.12-0.21	1	1.093	558/8136	91.72	NZ_CP028415.1 Streptococcus mitis strain SK637 chromosome, complete genome
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/901/875/305/GCF_901875305.1_genomic.fna.gz	97.42	0.097	95.90-98.81	0.097	0.06-0.15	1	1.046	390/9516	90.21	NZ_CABFLY010000001.1 Rothia mucilaginosa isolate Rothia_mucilaginosa_BgEED27, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/642/265/GCF_016642265.1_genomic.fna.gz	96.87	0.268	96.29-97.35	0.268	0.23-0.32	1	1.187	801/9119	92.45	NZ_MRXX01000001.1 Streptococcus lactarius strain CCUG 66490 66490_contig_0000001, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/277/455/GCF_013277455.1_genomic.fna.gz	96.84	0.189	96.14-97.62	0.189	0.13-0.24	1	1.173	560/8788	91.50	NZ_VMMY01000001.1 Streptococcus sp. 5346 5346-99_S28_L001_R1_001_(paired)_contig_1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/927/911/535/GCA_927911535.1_genomic.fna.gz	96.81	0.147	95.59-97.95	0.147	0.09-0.21	1	1.091	339/6752	90.80	CAKMQC010000001.1 MAG TPA_asm: Streptococcus mitis isolate ERR3827286_bin.1_metaWRAP_v1.1_MAG genome assembly, contig: ERZ4768129.98, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/109/235/GCF_023109235.1_genomic.fna.gz	96.80	0.172	95.90-97.66	0.172	0.12-0.22	1	1.189	460/7968	91.21	NZ_JALDUC010000010.1 Streptococcus mitis strain S53 NODE_10_length_93322_cov_198.967258, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/096/735/GCF_002096735.1_genomic.fna.gz	96.80	0.183	96.01-97.53	0.183	0.14-0.23	1	1.186	505/8264	91.38	NZ_NCVC01000017.1 Streptococcus mitis strain RH_8961_10 s_mitis_RH_8961_10_ID_1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/218/685/GCF_019218685.1_genomic.fna.gz	96.75	0.157	95.71-97.67	0.157	0.11-0.21	1	1.172	441/8424	90.92	NZ_JAHUZC010000010.1 Streptococcus vulneris strain DM3B3 NODE_10_length_85275_cov_315.799702, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/626/515/GCF_003626515.1_genomic.fna.gz	96.67	0.144	95.72-97.78	0.144	0.10-0.19	1	1.193	389/8292	90.60	NZ_RBCK01000001.1 Streptococcus chosunense strain ChDC B353 KCOM1699_1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/096/845/GCF_002096845.1_genomic.fna.gz	96.67	0.169	95.82-97.54	0.169	0.12-0.22	1	1.179	476/8758	91.03	NZ_NCVK01000060.1 Streptococcus mitis strain OD_317805_11 s_mitis_OD_317805_11_ID_1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/916/050/595/GCA_916050595.1_genomic.fna.gz	96.62	0.212	95.83-97.53	0.212	0.16-0.27	1	1.106	367/5573	91.60	CAJZLM010000001.1 MAG TPA_asm: Streptococcus mitis isolate ERR2765141_bin.1_metaWRAP_v1.1_MAG genome assembly, contig: ERZ1674214.1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/096/925/GCF_002096925.1_genomic.fna.gz	96.60	0.177	95.85-97.31	0.177	0.13-0.23	1	1.197	471/8477	91.10	NZ_NCVN01000085.1 Streptococcus mitis strain B_009152_10 s_mitis_RS_009152_10_ID_1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/220/085/GCF_000220085.1_genomic.fna.gz	96.57	0.195	95.78-97.26	0.195	0.15-0.25	1	1.111	488/8111	91.33	NZ_AFQV01000034.1 Streptococcus mitis SK1080 ctg1129645366110, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/144/405/GCF_000144405.1_genomic.fna.gz	96.56	0.101	95.37-97.51	0.101	0.07-0.15	1	1.048	437/13473	89.53	NC_014370.1 Prevotella melaninogenica ATCC 25845 chromosome I, complete sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/905/369/855/GCA_905369855.1_genomic.fna.gz	96.54	0.207	95.82-97.26	0.207	0.16-0.26	1	1.111	431/6873	91.45	CAJPJN010000001.1 MAG: Streptococcus oralis isolate DRR046084-mag-bin.1 genome assembly, contig: DRR046084-mag-bin.1_2, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/946/188/585/GCF_946188585.1_genomic.fna.gz	96.52	0.161	95.41-97.63	0.161	0.11-0.22	1	1.192	417/8349	90.79	NZ_CAMHVI010000001.1 Streptococcus mitis isolate Streptococcus mitis NODE_1_length_551605_cov_126.496499, whole genome shotgun sequence
