Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	14.4485	8.3287	96.21	3.421	NA-NA	HIGH	NA-NA	3	3.421	19/63	96.21	0	IMGVR_UViG_2924800864_000011|2924800864|2924801062
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	14.1741	18.3105	99.79	3.356	NA-NA	HIGH	NA-NA	3	3.356	132/141	99.79	0	IMGVR_UViG_2639762809_000001|2639762809|2639798070|75824-110008
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	14.0453	9.2242	97.98	3.326	NA-NA	HIGH	NA-NA	3	3.326	43/81	97.98	4	IMGVR_UViG_2937905882_000003|2937905882|2937905914
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	13.2528	16.2084	98.62	3.138	NA-NA	HIGH	NA-NA	3	3.138	87/134	98.62	0	IMGVR_UViG_2859234005_000001|2859234005|2859234005|777945-810308
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	9.1507	7.4475	95.29	2.167	NA-NA	LOW	NA-NA	2	2.167	24/107	95.29	65	IMGVR_UViG_2937919248_000002|2937919248|2937919254|7151-28687
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	8.5524	21.2075	97.43	2.025	97.02-97.99	2.025	1.41-2.75	2	2.731	119/307	96.99	0	IMGVR_UViG_3300007132_000014|3300007132|Ga0103282_100027
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	8.2246	3.5605	96.57	1.947	NA-NA	LOW	NA-NA	2	1.947	19/56	96.57	28	IMGVR_UViG_2874572580_000001|2874572580|2874572777
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	6.0817	6.6615	98.60	1.440	97.98-99.75	1.440	0.75-2.22	2	2.597	72/146	97.75	12	IMGVR_UViG_2937915319_000001|2937915319|2937915374
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	5.8072	2.2033	100.00	1.375	99.84-101.78	1.375	0.56-1.85	2	2.571	42/50	99.44	0	IMGVR_UViG_2660238010_000003|2660238010|2660252095|2-10041
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	4.0398	4.1832	99.41	0.957	98.36-100.85	0.957	0.46-1.68	2	2.603	63/123	97.86	39	IMGVR_UViG_2876745641_000001|2876745641|2876745719|168-27569
trimmed_read1_3001097072-DNA.fastq.gz	imgvr_reps.fna	2.2229	2.6645	97.81	0.526	96.22-99.71	0.526	0.28-1.00	1	1.464	28/136	95.03	30	IMGVR_UViG_2850723793_000002|2850723793|2850723793|1526239-1557958
