Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	12.7975	19.2504	96.67	1.920	96.29-100.00	1.920	0.35-1.85	2	1.667	54/181	96.17	74	IMGVR_UViG_2871807094_000004|2871807094|2871807173
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	12.3053	5.2760	97.91	1.846	97.99-100.01	1.846	0.60-1.85	2	1.643	28/64	97.37	4	IMGVR_UViG_651324038_000009|651324038|651332617|50482-62970
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	11.8496	6.2054	96.04	1.778	NA-NA	LOW	NA-NA	2	1.778	18/63	96.04	0	IMGVR_UViG_2924800864_000011|2924800864|2924801062
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	10.9070	7.0635	99.73	1.636	99.27-101.13	1.636	0.77-2.05	2	1.930	57/77	99.03	0	IMGVR_UViG_2903692135_000003|2903692135|2903692182|37560-56423
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	10.6646	15.8919	97.26	1.600	96.81-98.85	1.600	0.58-1.86	2	1.703	64/190	96.55	24	IMGVR_UViG_2903682452_000003|2903682452|2903682513|20595-64000
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	10.1941	6.9984	97.87	1.529	97.14-99.54	1.529	0.56-1.87	2	1.771	35/87	97.11	9	IMGVR_UViG_2937921087_000006|2937921087|2937921124|69-20065
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	9.7759	13.2074	97.56	1.467	97.03-98.40	1.467	0.87-1.85	2	1.884	69/193	96.74	29	IMGVR_UViG_2879046454_000009|2879046454|2879046472|48931-88283
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	6.8952	7.0686	98.21	1.034	97.22-99.46	1.034	0.59-1.63	1	1.413	46/125	96.83	9	IMGVR_UViG_2900205732_000001|2900205732|2900205774
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	6.2733	8.8345	96.20	0.941	94.76-97.85	0.941	0.40-1.57	2	1.861	36/196	94.68	34	IMGVR_UViG_2903680489_000001|2903680489|2903680497|66546-107566
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	4.9990	6.5246	100.00	0.750	98.32-101.55	0.750	0.39-1.94	2	1.837	86/158	98.06	0	IMGVR_UViG_2639762970_000003|2639762970|2639816188|3-38020
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	1.7388	2.2438	99.43	0.261	NA-NA	0.261	NA-NA	1	1.367	30/156	94.82	0	IMGVR_UViG_2529293276_000002|2529293276|2529423312|306334-343921
trimmed_read1_3001351708-DNA.fastq.gz	imgvr_reps.fna	1.5997	1.4355	100.00	0.240	98.13-101.59	0.240	0.18-0.56	1	1.529	34/124	95.91	0	IMGVR_UViG_2874562717_000005|2874562717|2874562732|104308-130446
