Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	20.3043	14.7363	99.55	10.761	NA-NA	HIGH	NA-NA	10	10.761	67/77	99.55	0	IMGVR_UViG_2876743585_000006|2876743585|2876743607|74176-93042
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	19.1069	34.1753	97.06	10.127	NA-NA	HIGH	NA-NA	10	10.127	79/199	97.06	69	IMGVR_UViG_2850721913_000001|2850721913|2850721913|638634-685130
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	15.3879	9.0768	99.30	8.156	NA-NA	HIGH	NA-NA	7	8.156	45/56	99.30	0	IMGVR_UViG_2922196454_000011|2922196454|2922196518|1-15334
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	15.0735	12.4881	99.44	7.989	NA-NA	HIGH	NA-NA	7	7.989	90/107	99.44	2	IMGVR_UViG_2937919248_000002|2937919248|2937919254|7151-28687
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	14.5284	15.3143	97.14	7.700	NA-NA	HIGH	NA-NA	7	7.700	50/123	97.14	38	IMGVR_UViG_2876745641_000001|2876745641|2876745719|168-27569
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	4.8742	2.0556	95.15	2.583	NA-NA	LOW	NA-NA	2	2.583	12/56	95.15	0	IMGVR_UViG_2548876510_000002|2548876510|2548877700
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	3.4306	2.1323	98.35	1.818	97.58-100.09	1.818	0.59-2.70	2	2.306	36/72	97.79	0	IMGVR_UViG_3300001148_000040|3300001148|More10kbN_1000932
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	2.2970	3.8063	96.84	1.217	95.89-98.19	1.217	0.67-1.81	2	1.739	46/177	95.75	0	IMGVR_UViG_2713897267_000001|2713897267|2713960364
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	2.1227	0.9115	100.00	1.125	99.45-101.57	1.125	0.53-1.88	2	1.951	41/52	99.24	0	IMGVR_UViG_3300001148_000029|3300001148|More10kbN_1000231
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	1.5538	3.9538	95.27	0.824	93.87-96.96	0.824	0.38-1.56	2	1.944	36/288	93.51	0	IMGVR_UViG_3300045988_154090|3300045988|Ga0495776_186484
trimmed_read1_3001361919-DNA.fastq.gz	imgvr_reps.fna	1.3208	1.3498	98.57	0.700	96.93-100.46	0.700	0.33-1.40	1	1.946	37/115	96.41	0	IMGVR_UViG_3300007736_000206|3300007736|Ga0105757_1000281
