Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	12.3687	17.7868	99.23	3.081	NA-NA	HIGH	NA-NA	3	3.081	136/173	99.23	19	IMGVR_UViG_2869494496_000001|2869494496|2869494496|638797-677747
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	11.1988	6.3399	96.57	2.789	NA-NA	HIGH	NA-NA	3	2.789	19/56	96.57	19	IMGVR_UViG_2922196454_000011|2922196454|2922196518|1-15334
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	10.7894	6.6997	95.31	2.688	NA-NA	LOW	NA-NA	2	2.688	16/71	95.31	47	IMGVR_UViG_2922210480_000003|2922210480|2922210484|3-16821
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	9.1445	6.5426	95.50	2.278	NA-NA	LOW	NA-NA	2	2.278	18/75	95.50	10	IMGVR_UViG_2874568730_000003|2874568730|2874568842
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	5.7990	14.0487	97.73	1.444	97.13-98.44	1.444	0.96-2.06	2	2.661	115/307	96.88	1	IMGVR_UViG_3300007132_000014|3300007132|Ga0103282_100027
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	5.3529	4.2563	97.33	1.333	96.53-98.69	1.333	0.62-2.40	2	2.500	34/107	96.37	45	IMGVR_UViG_2937919248_000002|2937919248|2937919254|7151-28687
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	5.0183	2.2822	99.73	1.250	98.84-100.80	1.250	0.69-1.85	2	2.525	40/61	98.65	0	IMGVR_UViG_2906592545_000002|2906592545|2906592554|17263-29580
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	4.7521	5.1628	100.00	1.184	99.68-101.09	1.184	0.75-1.65	2	1.981	103/139	99.04	0	IMGVR_UViG_2531839692_000002|2531839692|2531931893
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	4.6838	7.2261	95.26	1.167	94.55-97.38	1.167	0.43-1.82	2	1.962	26/170	94.12	9	IMGVR_UViG_650377946_000001|650377946|650377955|523932-565719
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	4.6229	5.0199	98.75	1.152	98.05-99.68	1.152	0.49-1.61	1	1.544	57/123	97.55	0	IMGVR_UViG_3300007302_000001|3300007302|Ga0104927_100021
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	4.5882	3.5288	99.45	1.143	98.19-100.69	1.143	0.55-2.00	2	2.593	54/94	98.23	2	IMGVR_UViG_2869528603_000002|2869528603|2869528605|3-20834
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	4.5621	3.7607	95.26	1.136	NA-NA	LOW	NA-NA	1	1.136	22/99	95.26	2	IMGVR_UViG_2876155003_000001|2876155003|2876155020|170870-193197
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	4.5165	2.3451	98.72	1.125	97.94-100.30	1.125	0.47-1.69	1	1.586	29/64	97.48	0	IMGVR_UViG_3300007302_000004|3300007302|Ga0104927_100065
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	3.3456	2.3731	99.72	0.833	98.05-101.29	0.833	0.41-1.85	2	1.905	42/81	97.90	0	IMGVR_UViG_2602041920_000003|2602041920|2602088048
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	2.6764	1.4578	100.00	0.667	99.03-102.59	0.667	0.27-1.24	1	1.590	39/67	98.27	0	IMGVR_UViG_3300007302_000003|3300007302|Ga0104927_100057
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	2.6764	4.6912	99.29	0.667	98.22-100.63	0.667	0.40-1.09	1	1.551	78/200	97.01	0	IMGVR_UViG_2878547026_000002|2878547026|2878547031|75716-123191
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	2.4706	3.9291	97.74	0.615	95.98-99.49	0.615	0.26-1.05	1	1.525	40/177	95.32	2	IMGVR_UViG_2713897267_000001|2713897267|2713960364
trimmed_read1_3001369354-DNA.fastq.gz	imgvr_reps.fna	1.4338	2.5493	99.49	0.357	97.80-101.07	0.357	0.21-0.67	1	2.314	51/199	95.70	3	IMGVR_UViG_2684623175_000001|2684623175|2684693290|723137-771294
