Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/642/265/GCF_016642265.1_genomic.fna.gz	21.3760	20.9258	96.82	0.254	96.25-97.35	0.254	0.21-0.31	1	1.148	751/9119	92.26	50	NZ_MRXX01000001.1 Streptococcus lactarius strain CCUG 66490 66490_contig_0000001, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/722/765/GCF_000722765.2_genomic.fna.gz	13.8391	12.4280	97.40	0.164	96.58-98.38	0.164	0.11-0.21	1	1.094	545/8136	91.65	13	NZ_CP028415.1 Streptococcus mitis strain SK637 chromosome, complete genome
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/277/455/GCF_013277455.1_genomic.fna.gz	13.1981	12.3841	95.35	0.157	94.10-96.47	0.157	0.10-0.24	1	1.096	291/8788	89.59	269	NZ_VMMY01000001.1 Streptococcus sp. 5346 5346-99_S28_L001_R1_001_(paired)_contig_1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/187/585/GCF_000187585.1_genomic.fna.gz	13.1003	9.9339	96.11	0.156	94.92-97.07	0.156	0.11-0.23	1	1.088	295/6993	90.29	119	NZ_GL732463.1 Streptococcus peroris ATCC 700780 SCAFFOLD1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/010/604/095/GCA_010604095.1_genomic.fna.gz	10.3333	10.3845	97.74	0.123	96.73-98.48	0.123	0.10-0.17	1	1.099	538/9276	91.22	1	JAABLG010000001.1 Streptococcus vestibularis strain AS012761 AS012761_1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/144/405/GCF_000144405.1_genomic.fna.gz	8.3589	12.2459	96.51	0.099	95.26-97.62	0.099	0.06-0.15	1	1.047	423/13473	89.44	14	NC_014370.1 Prevotella melaninogenica ATCC 25845 chromosome I, complete sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/901/875/305/GCF_901875305.1_genomic.fna.gz	8.1500	8.4280	97.42	0.097	95.90-98.81	0.097	0.06-0.15	1	1.046	390/9516	90.21	0	NZ_CABFLY010000001.1 Rothia mucilaginosa isolate Rothia_mucilaginosa_BgEED27, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/411/415/GCF_000411415.1_genomic.fna.gz	4.5522	5.1160	95.11	0.054	93.00-95.67	0.054	0.05-0.11	1	1.043	115/10350	86.49	1	NZ_KE150450.1 Actinomyces sp. HPA0247 acAqT-supercont1.1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/434/335/GCF_001434335.1_genomic.fna.gz	3.7709	3.6236	96.69	0.045	94.19-96.96	0.045	0.04-0.09	1	1.022	137/8883	87.41	5	NZ_AZFM01000001.1 Lactobacillus kalixensis DSM 16043 Scaffold1, whole genome shotgun sequence
trimmed_read1_3001070226-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/613/925/GCA_000613925.1_genomic.fna.gz	3.3212	4.5301	99.02	0.039	97.10-101.39	0.039	0.02-0.07	1	1.055	364/12791	89.15	0	BAJX01000055.1 Prevotella histicola JCM 15637 = DNF00424 DNA, contig: JCM15637.contig00055, whole genome shotgun sequence
