Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/901/875/575/GCF_901875575.1_genomic.fna.gz	96.89	0.174	96.08-97.92	0.174	0.12-0.23	1	1.133	512/8547	91.32	NZ_CABFMF010000001.1 Uncultured Streptococcus sp., whole genome shotgun sequence
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/096/185/GCA_001096185.1_genomic.fna.gz	96.43	0.105	95.00-98.04	0.105	0.06-0.16	1	1.128	290/8989	89.51	CRPU01000001.1 Streptococcus pneumoniae genome assembly 6775_1#8, scaffold ERS020334SCcontig000001, whole genome shotgun sequence
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/947/253/175/GCA_947253175.1_genomic.fna.gz	96.35	0.138	94.97-98.01	0.138	0.08-0.21	1	1.135	222/5429	90.20	CAMXYG010000001.1 MAG TPA_asm: uncultured Streptococcus sp. isolate SRR17635508_bin.2_metaWRAP_v1.3_MAG genome assembly, contig: ERZ14212505.19, whole genome shotgun sequence
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/903/645/285/GCF_903645285.1_genomic.fna.gz	96.00	0.119	94.76-97.33	0.119	0.08-0.18	1	1.071	269/8493	89.46	NZ_CAHJXN010000001.1 Streptococcus sp. Marseille-Q2617, whole genome shotgun sequence
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/905/369/855/GCA_905369855.1_genomic.fna.gz	95.95	0.169	94.81-97.08	0.169	0.11-0.25	1	1.091	297/6873	90.36	CAJPJN010000001.1 MAG: Streptococcus oralis isolate DRR046084-mag-bin.1 genome assembly, contig: DRR046084-mag-bin.1_2, whole genome shotgun sequence
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/277/455/GCF_013277455.1_genomic.fna.gz	95.91	0.164	94.84-96.74	0.164	0.11-0.23	1	1.134	365/8788	90.25	NZ_VMMY01000001.1 Streptococcus sp. 5346 5346-99_S28_L001_R1_001_(paired)_contig_1, whole genome shotgun sequence
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/946/190/115/GCF_946190115.1_genomic.fna.gz	95.86	0.158	94.78-96.68	0.158	0.11-0.22	1	1.122	335/8454	90.11	NZ_CAMHZG010000001.1 Streptococcus mitis isolate Streptococcus mitis NODE_1_length_220291_cov_95.818490, whole genome shotgun sequence
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/277/415/GCF_013277415.1_genomic.fna.gz	95.80	0.140	94.64-96.71	0.140	0.10-0.20	1	1.131	313/9052	89.71	NZ_VMMX01000001.1 Streptococcus sp. 68 68_S3_L001_R1_001_(paired)_contig_1, whole genome shotgun sequence
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/946/188/685/GCF_946188685.1_genomic.fna.gz	95.79	0.138	94.64-97.22	0.138	0.09-0.20	1	1.132	303/8937	89.66	NZ_CAMHWH010000001.1 Streptococcus mitis isolate Streptococcus mitis NODE_1_length_368939_cov_97.626665, whole genome shotgun sequence
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/905/221/115/GCA_905221115.1_genomic.fna.gz	95.75	0.143	94.60-96.81	0.143	0.09-0.21	1	1.127	292/8441	89.72	CAJNBX010000001.1 unidentified bacterium isolate Streptococcus species genome assembly, contig: NODE_1_length_385792_cov_41.2882, whole genome shotgun sequence
trimmed_read1_3001099250-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/414/905/GCF_019414905.1_genomic.fna.gz	95.72	0.154	94.46-96.93	0.154	0.10-0.23	1	1.079	266/7206	89.90	NZ_DXLC01000001.1 MAG: Streptococcus sp. isolate HRGM_Genome_0314 HRGM_Genome_0314_1, whole genome shotgun sequence
