Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001180259-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/257/905/GCF_000257905.1_genomic.fna.gz	17.4682	16.7227	97.08	0.888	96.89-97.22	0.888	0.81-0.96	1	1.630	1987/8469	95.43	115	NZ_AJJL01000001.1 Streptococcus mitis SK579 contig00033, whole genome shotgun sequence
trimmed_read1_3001180259-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/281/025/GCF_001281025.1_genomic.fna.gz	17.2735	15.9256	95.88	0.878	95.65-96.17	0.878	0.77-0.97	1	1.633	1252/7893	94.23	758	NZ_CP012646.1 Streptococcus mitis strain KCOM 1350 (= ChDC B183) chromosome, complete genome
trimmed_read1_3001180259-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/072/385/GCF_001072385.1_genomic.fna.gz	14.2046	13.9345	97.37	0.722	97.15-97.56	0.722	0.66-0.78	1	1.454	1926/8569	95.30	46	NZ_JVKU01000001.1 Streptococcus sp. 343_SSPC, whole genome shotgun sequence
trimmed_read1_3001180259-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/808/955/GCF_001808955.1_genomic.fna.gz	9.6948	10.8421	96.71	0.493	96.35-97.07	0.493	0.43-0.55	1	1.320	1380/10004	93.81	8	NZ_KV795235.1 Rothia sp. HMSC078H08 Scaffold0, whole genome shotgun sequence
trimmed_read1_3001180259-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/902/466/845/GCF_902466845.1_genomic.fna.gz	8.9735	7.9335	97.69	0.456	97.34-98.01	0.456	0.41-0.51	1	1.297	1402/7908	94.57	0	NZ_CABQSN010000001.1 MAG: uncultured Haemophilus sp. isolate MGYG-HGUT-00860, whole genome shotgun sequence
trimmed_read1_3001180259-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/815/355/GCF_001815355.1_genomic.fna.gz	8.1886	7.5417	95.88	0.416	95.37-96.31	0.416	0.36-0.51	1	1.385	768/8284	92.61	706	NZ_KV820351.1 Haemophilus sp. HMSC068C11 Scaffold0, whole genome shotgun sequence
trimmed_read1_3001180259-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/343/115/GCF_013343115.1_genomic.fna.gz	6.5515	7.4741	97.58	0.333	97.12-97.98	0.333	0.29-0.40	1	1.238	1327/10002	93.69	0	NZ_CP054570.1 Streptococcus sanguinis strain FDAARGOS_770 chromosome, complete genome
trimmed_read1_3001180259-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz	4.2111	5.6670	99.17	0.214	98.72-99.55	0.214	0.19-0.25	1	1.126	1771/11892	94.04	0	NZ_CP011526.1 Staphylococcus aureus strain DSM 20231 chromosome, complete genome
trimmed_read1_3001180259-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/015/259/235/GCA_015259235.1_genomic.fna.gz	2.5768	2.9855	96.56	0.131	95.48-97.45	0.131	0.09-0.19	1	1.066	424/10219	90.24	1	JABZGM010000100.1 MAG: Alloprevotella sp. isolate JCVI_44_bin.23 NODE_100_length_7555_cov_4.890211, whole genome shotgun sequence
trimmed_read1_3001180259-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/024/205/745/GCF_024205745.1_genomic.fna.gz	2.1461	2.2979	96.24	0.109	94.78-97.61	0.109	0.06-0.17	1	1.052	290/9199	89.45	19	NZ_CP073117.1 Neisseria subflava strain HP0015 chromosome, complete genome
