Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/375/525/GCF_000375525.1_genomic.fna.gz	98.45	1.091	98.35-98.59	1.091	1.02-1.15	1	1.731	4312/10520	97.16	NZ_AQXC01000001.1 Corynebacterium propinquum DSM 44285 B142DRAFT_scaffold_0.1_C, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/006/742/205/GCF_006742205.1_genomic.fna.gz	98.29	0.115	97.28-99.13	0.115	0.09-0.15	1	1.063	646/10141	91.50	NZ_AP019721.1 Staphylococcus epidermidis strain NBRC 100911 chromosome, complete genome
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/621/715/GCF_028621715.1_genomic.fna.gz	96.30	0.039	93.81-96.38	0.039	0.04-0.09	1	1.019	158/13401	86.65	NZ_CP117466.1 Paracoccus marcusii strain MBLB0836 chromosome, complete genome
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/902/725/GCF_002902725.1_genomic.fna.gz	96.30	0.150	95.27-96.91	0.150	0.11-0.21	1	1.090	478/11056	90.36	NZ_PPRT01000001.1 Staphylococcus caprae strain NCTC 12196 f72aa3be-e669-408b-85af-2c2ab29b1624_c1, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz	94.97	0.097	93.47-96.84	0.097	0.05-0.16	1	1.081	221/11892	87.94	NZ_CP011526.1 Staphylococcus aureus strain DSM 20231 chromosome, complete genome
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/027/570/155/GCF_027570155.1_genomic.fna.gz	94.95	0.101	93.21-96.90	0.101	0.04-0.16	1	1.256	203/10562	88.03	NZ_JAKMUY010000001.1 Corynebacterium marquesiae strain c19Ua_121 19Ua_121_A_contig_1, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/232/885/GCF_030232885.1_genomic.fna.gz	94.17	1.092	93.95-94.51	1.092	0.92-1.21	1	1.797	1049/10137	92.94	NZ_JASPGD010000010.1 Corynebacterium sp. MSK297 NODE_10_length_83137_cov_46.783265, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/612/865/GCF_016612865.1_genomic.fna.gz	93.93	0.089	92.41-95.93	0.089	0.04-0.14	1	1.052	213/17478	86.75	NZ_JAENZZ010000001.1 Blastococcus sp. TML/M2B tmlm2b000001, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/022/179/765/GCF_022179765.1_genomic.fna.gz	93.31	0.062	91.41-94.51	0.062	0.04-0.11	1	1.054	168/23866	85.22	NZ_BPRE01000001.1 Methylorubrum suomiense strain DSM 14458 entry1, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/515/985/GCF_030515985.1_genomic.fna.gz	92.74	0.163	91.27-94.87	0.163	0.07-0.27	1	1.338	148/10218	87.23	NZ_CP100376.1 Corynebacterium accolens strain CA7 chromosome
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/001/015/GCF_008001015.1_genomic.fna.gz	92.67	0.067	90.18-93.35	0.067	0.06-0.16	1	1.033	92/14930	84.86	NZ_CP042862.1 Serinicoccus profundi strain CGMCC 4.5582 chromosome, complete genome
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/102/855/GCF_020102855.1_genomic.fna.gz	92.50	0.108	91.11-94.34	0.108	0.05-0.17	1	1.073	178/19529	85.94	NZ_JADHZD010000001.1 Nocardioides lacusdianchii strain JXJ CY 38 NODE_1, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/894/265/GCF_016894265.1_genomic.fna.gz	92.48	0.103	90.42-93.55	0.103	0.07-0.21	1	1.174	86/9961	85.79	NZ_CP069791.1 Corynebacterium tuberculostearicum strain FDAARGOS_1198 chromosome
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/471/045/GCA_000471045.1_genomic.fna.gz	92.26	0.140	90.70-94.10	0.140	0.06-0.25	1	1.079	139/12965	86.39	KI301992.1 actinobacterium LLX17 genomic scaffold scaffold00001, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/408/445/GCF_013408445.1_genomic.fna.gz	91.97	0.163	90.32-93.60	0.163	0.08-0.27	1	1.287	115/10212	86.53	NZ_JACBZL010000001.1 Corynebacterium tuberculostearicum strain DSM 44922 Ga0104567_01, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/102/115/GCA_900102115.1_genomic.fna.gz	91.89	0.142	90.75-93.66	0.142	0.07-0.22	1	1.101	169/17595	86.08	FNAW01000030.1 Blastococcus sp. DSM 44205 genome assembly, contig: Ga0056091_scaffold00030.30, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/688/415/GCF_000688415.1_genomic.fna.gz	91.76	1.133	91.35-92.14	1.133	0.93-1.38	2	1.890	462/9809	90.61	NZ_JIAH01000001.1 Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00010.10_C, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/022/347/205/GCF_022347205.1_genomic.fna.gz	91.57	0.233	90.12-92.86	0.233	0.14-0.38	1	1.616	138/10164	87.05	NZ_JAKRNE010000010.1 Corynebacterium sp. ACRPO NODE_10_length_90094_cov_17.272148_pilon, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/221/005/GCF_900221005.1_genomic.fna.gz	91.31	0.191	90.28-92.70	0.191	0.11-0.28	1	1.106	208/19958	86.31	NZ_OBQI01000013.1 Blastococcus aggregatus strain DSM 4725, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/319/105/GCF_003319105.1_genomic.fna.gz	91.29	0.140	90.06-93.11	0.140	0.06-0.22	1	1.065	138/17869	85.48	NZ_QOHH01000037.1 Blastococcus sp. TF02-9 NODE_102_length_510_cov_2811.754569, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/144/855/GCF_014144855.1_genomic.fna.gz	91.28	0.108	88.98-92.77	0.108	0.07-0.23	1	1.160	81/13351	84.82	NZ_JAALDN010000100.1 Dietzia maris strain IMV 195T NODE_100_lenth_1414, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/175/635/GCF_000175635.1_genomic.fna.gz	91.22	0.227	89.98-93.28	0.227	0.10-0.35	1	1.376	125/10300	86.74	NZ_ACVP01000037.1 Corynebacterium tuberculostearicum SK141 contig00004, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/466/625/GCF_030466625.1_genomic.fna.gz	91.22	0.098	88.80-92.42	0.098	0.07-0.22	1	1.069	87/16172	84.49	NZ_JADEVT010000001.1 Nocardioides sp. ChNu-153 Scaffold1, whole genome shotgun sequence
trimmed_read1_3001092225-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/102/425/GCF_900102425.1_genomic.fna.gz	91.05	0.171	89.79-93.08	0.171	0.08-0.27	1	1.116	155/18029	85.78	NZ_FNBT01000018.1 Blastococcus aurantiacus strain DSM 44268, whole genome shotgun sequence
