Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001206722-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/688/415/GCF_000688415.1_genomic.fna.gz	31.9900	29.2202	98.78	2.361	98.73-98.82	2.361	2.24-2.50	2	2.714	6064/9809	98.46	1	NZ_JIAH01000001.1 Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00010.10_C, whole genome shotgun sequence
trimmed_read1_3001206722-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/632/285/GCF_001632285.1_genomic.fna.gz	10.1845	7.7557	99.27	0.752	99.10-99.46	0.752	0.71-0.80	1	1.446	3447/8176	97.25	0	NZ_LWAH01000001.1 Moraxella catarrhalis strain CCUG 353 contig_1, whole genome shotgun sequence
trimmed_read1_3001206722-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/010/604/095/GCA_010604095.1_genomic.fna.gz	7.7755	6.8270	98.72	0.574	98.53-98.91	0.574	0.53-0.62	1	1.385	2724/9276	96.12	2	JAABLG010000001.1 Streptococcus vestibularis strain AS012761 AS012761_1, whole genome shotgun sequence
trimmed_read1_3001206722-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/901/875/305/GCF_901875305.1_genomic.fna.gz	6.6166	5.9780	97.55	0.488	97.24-97.83	0.488	0.43-0.54	1	1.270	1703/9516	94.60	3	NZ_CABFLY010000001.1 Rothia mucilaginosa isolate Rothia_mucilaginosa_BgEED27, whole genome shotgun sequence
trimmed_read1_3001206722-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/187/585/GCF_000187585.1_genomic.fna.gz	5.8302	3.8625	97.08	0.430	96.67-97.54	0.430	0.36-0.50	1	1.232	976/6993	93.85	135	NZ_GL732463.1 Streptococcus peroris ATCC 700780 SCAFFOLD1, whole genome shotgun sequence
trimmed_read1_3001206722-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/729/745/GCF_001729745.1_genomic.fna.gz	5.5243	10.4414	98.60	0.408	98.42-98.80	0.408	0.38-0.43	1	1.238	4369/20199	95.18	0	NZ_CP017186.1 Enterobacter hormaechei subsp. hoffmannii strain DSM 14563 chromosome, complete genome
trimmed_read1_3001206722-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/072/315/GCF_001072315.1_genomic.fna.gz	4.5858	4.0070	98.31	0.338	97.90-98.72	0.338	0.29-0.38	1	1.197	1578/9310	94.44	47	NZ_JVLI01000001.1 Streptococcus pseudopneumoniae strain 330_SPSE 0_919_132734, whole genome shotgun sequence
trimmed_read1_3001206722-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/808/705/GCF_001808705.1_genomic.fna.gz	3.6294	3.1238	95.64	0.268	94.93-96.26	0.268	0.21-0.33	1	1.145	532/9017	91.27	313	NZ_KV794218.1 Streptococcus sp. HMSC074B11 Scaffold5, whole genome shotgun sequence
trimmed_read1_3001206722-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/009/932/375/GCF_009932375.1_genomic.fna.gz	3.0450	7.0502	97.29	0.225	96.98-97.56	0.225	0.20-0.25	1	1.120	2119/24707	92.38	3	NZ_BLJG01000001.1 Pseudomonas juntendi strain BML3 BML3_contig_1, whole genome shotgun sequence
trimmed_read1_3001206722-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/009/728/485/GCF_009728485.1_genomic.fna.gz	2.1422	2.4388	96.70	0.158	95.78-97.40	0.158	0.12-0.21	1	1.076	629/12166	90.89	2	NZ_VVIQ01000010.1 Prevotella vespertina strain A2879 NODE_10_length_95728_cov_94.495633, whole genome shotgun sequence
