Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	11.0083	20.3010	95.86	3.481	NA-NA	HIGH	NA-NA	4	3.481	54/200	95.86	68	IMGVR_UViG_2878547026_000002|2878547026|2878547031|75716-123191
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	10.9453	12.7997	98.67	3.462	NA-NA	HIGH	NA-NA	3	3.462	78/118	98.67	0	IMGVR_UViG_3300007936_000001|3300007936|Ga0114095_100021
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	10.3752	4.3022	98.10	3.281	NA-NA	HIGH	NA-NA	3	3.281	32/58	98.10	0	IMGVR_UViG_3300007780_000007|3300007780|Ga0105678_100264
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	9.8536	12.6583	98.46	3.116	NA-NA	HIGH	NA-NA	3	3.116	86/139	98.46	0	IMGVR_UViG_3300008381_000019|3300008381|Ga0114858_100002|183570-216641
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	9.4859	7.8815	95.46	3.000	NA-NA	HIGH	NA-NA	3	3.000	22/93	95.46	17	IMGVR_UViG_2871056431_000002|2871056431|2871056432|4221-25610
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	9.1799	7.9290	98.77	2.903	NA-NA	HIGH	NA-NA	3	2.903	62/91	98.77	0	IMGVR_UViG_3300008381_000020|3300008381|Ga0114858_100003|179971-202206
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	8.2697	5.7243	96.99	2.615	NA-NA	HIGH	NA-NA	3	2.615	26/67	96.99	3	IMGVR_UViG_3300008381_000023|3300008381|Ga0114858_100030|1-17820
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	7.2968	3.5070	98.34	2.308	97.97-99.45	2.308	1.11-2.73	2	2.367	30/56	98.01	0	IMGVR_UViG_3300008381_000022|3300008381|Ga0114858_100015|31021-43393
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	4.4754	7.2687	99.96	1.415	99.53-100.52	1.415	1.00-1.76	2	1.863	139/186	99.06	2	IMGVR_UViG_2537562229_000003|2537562229|2537636179|11810-53621
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	4.3993	2.2191	100.00	1.391	99.62-101.41	1.391	0.67-1.88	2	1.816	49/62	99.24	0	IMGVR_UViG_2602041592_000002|2602041592|2602056469|11696-24681
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	4.1106	3.5319	98.73	1.300	97.83-99.99	1.300	0.61-1.88	2	2.062	48/98	97.72	0	IMGVR_UViG_2724679328_000003|2724679328|2724725166
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	3.8916	2.9044	97.93	1.231	97.19-99.65	1.231	0.46-1.83	2	2.133	30/81	96.85	22	IMGVR_UViG_2602041920_000003|2602041920|2602088048
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	3.3596	5.5034	97.81	1.062	97.07-98.93	1.062	0.58-1.59	1	1.712	59/179	96.48	57	IMGVR_UViG_2531839416_000002|2531839416|2531896344|557764-599935
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	2.2585	1.6451	100.00	0.714	99.29-102.31	0.714	0.31-1.22	1	1.556	45/75	98.37	0	IMGVR_UViG_2537562228_000005|2537562228|2537636137|2-18753
trimmed_read1_3001231137-DNA.fastq.gz	imgvr_reps.fna	1.0903	1.8244	99.18	0.345	96.98-100.67	0.345	0.20-0.63	1	1.550	40/177	95.32	33	IMGVR_UViG_2713897267_000001|2713897267|2713960364
