Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/570/865/GCF_001570865.1_genomic.fna.gz	22.3778	25.3682	97.00	0.384	96.60-97.36	0.384	0.34-0.44	1	1.218	1259/10133	93.49	1	NZ_BCSM01000001.1 Rothia kristinae NBRC 15354, whole genome shotgun sequence
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/005/545/GCF_002005545.1_genomic.fna.gz	17.2771	17.5486	96.43	0.297	95.82-96.84	0.297	0.26-0.35	1	1.176	726/8727	92.29	0	NZ_LBMT01000001.1 Streptococcus mitis strain 321A Scaffold1, whole genome shotgun sequence
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/946/221/015/GCA_946221015.1_genomic.fna.gz	11.8206	7.4508	95.12	0.203	94.09-96.29	0.203	0.13-0.27	1	1.131	221/5663	90.07	0	CAMIIS010000001.1 MAG: uncultured Anaerococcus sp. isolate 3zJPfo700p_bin.2.MAG genome assembly, contig: NODE_15_length_52196_cov_7.046432, whole genome shotgun sequence
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/621/715/GCF_028621715.1_genomic.fna.gz	9.2845	14.1893	95.69	0.159	94.80-96.48	0.159	0.12-0.21	1	1.087	504/13401	89.96	0	NZ_CP117466.1 Paracoccus marcusii strain MBLB0836 chromosome, complete genome
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/556/165/GCA_900556165.1_genomic.fna.gz	8.9564	2.5397	95.43	0.154	93.75-97.20	0.154	0.08-0.27	1	1.071	84/2508	89.62	4	USNP01000001.1 uncultured bacterium isolate UMGS1907 genome assembly, contig: NODE_35_length_38690_cov_4.644467, whole genome shotgun sequence
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/030/305/GCF_003030305.1_genomic.fna.gz	7.7254	9.2755	97.90	0.133	97.04-98.54	0.133	0.10-0.18	1	1.074	679/10561	91.53	0	NZ_CP023676.1 Cutibacterium acnes strain ATCC 6919 chromosome, complete genome
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/938/021/905/GCF_938021905.1_genomic.fna.gz	7.2573	7.1720	96.92	0.125	95.69-97.78	0.125	0.09-0.18	1	1.069	394/8878	90.44	0	NZ_CALIFA010000001.1 MAG: Haemophilus parahaemolyticus isolate ERR1474568_bin.54_CONCOCT_v1.1_MAG ERZ651119.9223, whole genome shotgun sequence
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/022/749/495/GCF_022749495.1_genomic.fna.gz	4.6163	6.2245	95.87	0.079	94.20-97.74	0.079	0.04-0.14	1	1.046	237/11476	88.24	32	NZ_CP094241.1 Neisseria macacae ATCC 33926 chromosome, complete genome
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/901/875/575/GCF_901875575.1_genomic.fna.gz	4.3123	4.1024	96.42	0.074	94.56-98.57	0.074	0.03-0.13	1	1.046	197/8547	88.55	346	NZ_CABFMF010000001.1 Uncultured Streptococcus sp., whole genome shotgun sequence
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/475/315/GCF_900475315.1_genomic.fna.gz	3.7559	3.3128	96.51	0.065	93.98-98.25	0.065	0.03-0.14	1	1.105	162/7805	88.25	0	NZ_LS483369.1 Neisseria cinerea strain NCTC10294 chromosome 1, complete sequence
trimmed_read1_3000885600-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/061/665/GCF_001061665.1_genomic.fna.gz	2.6165	2.8163	97.33	0.045	94.96-98.27	0.045	0.03-0.09	1	1.033	183/9638	88.00	0	NZ_JVSP01000001.1 Rothia mucilaginosa strain 141_RMUC, whole genome shotgun sequence
