Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	14.8087	19.0650	98.32	3.596	NA-NA	HIGH	NA-NA	3	3.596	114/193	98.32	51	IMGVR_UViG_2879046454_000009|2879046454|2879046472|48931-88283
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	9.6883	6.1422	95.32	2.353	NA-NA	LOW	NA-NA	2	2.353	17/75	95.32	27	IMGVR_UViG_2874568730_000003|2874568730|2874568842
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	9.6762	6.3355	95.10	2.350	NA-NA	LOW	NA-NA	2	2.350	20/95	95.10	33	IMGVR_UViG_2903698071_000001|2903698071|2903698077
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	8.7965	5.4295	96.04	2.136	NA-NA	LOW	NA-NA	2	2.136	22/77	96.04	32	IMGVR_UViG_2876743585_000006|2876743585|2876743607|74176-93042
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	8.6685	4.3258	96.21	2.105	NA-NA	LOW	NA-NA	2	2.105	19/63	96.21	0	IMGVR_UViG_2924800864_000011|2924800864|2924801062
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	7.7204	15.0786	95.37	1.875	94.59-96.49	1.875	1.00-2.50	2	2.440	50/257	94.86	133	IMGVR_UViG_2903684351_000001|2903684351|2903684406|6294-65994
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	7.6016	2.6875	99.99	1.846	99.73-101.60	1.846	0.63-1.87	2	3.071	42/50	99.44	0	IMGVR_UViG_640612218_000010|640612218|640613095
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	7.5763	10.8600	100.00	1.840	99.80-100.50	1.840	1.33-2.48	2	2.363	157/181	99.54	0	IMGVR_UViG_2871807094_000004|2871807094|2871807173
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	6.7818	8.2660	99.32	1.647	98.83-100.58	1.647	0.75-2.32	2	2.188	96/147	98.63	1	IMGVR_UViG_2879046454_000004|2879046454|2879046515
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	5.7821	8.2106	99.48	1.404	99.09-100.07	1.404	1.00-1.81	2	2.262	122/190	98.58	12	IMGVR_UViG_2903682452_000003|2903682452|2903682513|20595-64000
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	5.7645	6.9281	99.78	1.400	99.33-100.42	1.400	1.00-1.82	2	2.091	121/172	98.87	7	IMGVR_UViG_2937923140_000001|2937923140|2937923163
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	3.8430	3.2863	96.51	0.933	95.89-98.35	0.933	0.40-1.43	1	1.600	25/124	94.97	2	IMGVR_UViG_2874562717_000005|2874562717|2874562732|104308-130446
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	2.4019	1.3658	100.00	0.583	99.45-103.02	0.583	0.23-1.16	1	2.068	44/70	98.51	0	IMGVR_UViG_2874562717_000004|2874562717|2874562728|17443-34824
trimmed_read1_3001352795-DNA.fastq.gz	imgvr_reps.fna	0.8903	2.0191	98.84	0.216	96.06-100.42	0.216	0.13-0.49	1	1.143	42/310	93.76	0	IMGVR_UViG_2529293271_000002|2529293271|2529422725|128316-197640
